name,status,nb_jobs,avg_duration_min
Notification-jira,canceled,2,0.05
Notification-jira,failed,10,0.18
accounts,canceled,118,0.12
accounts,failed,79,0.68
accounts,skipped,193,0.0
accounts,success,300,1.29
alerts,canceled,42,0.0
alerts,failed,13,0.72
alerts,skipped,39,0.0
alerts,success,61,1.48
batch-payment,canceled,42,0.02
batch-payment,failed,99,0.99
batch-payment,success,120,1.79
batchPayment,canceled,7,0.13
batchPayment,failed,20,0.56
batchPayment,skipped,2,0.0
batchPayment,success,8,1.12
bills,canceled,100,0.03
bills,failed,29,0.84
bills,skipped,122,0.0
bills,success,111,1.36
brakeman-sast,canceled,69,0.04
brakeman-sast,failed,28,0.04
brakeman-sast,success,1275,0.24
build,canceled,40,0.0
build,failed,78,0.11
cards,canceled,98,0.13
cards,failed,48,0.82
cards,skipped,184,0.0
cards,success,208,1.39
cheques,canceled,107,0.03
cheques,failed,32,0.79
cheques,skipped,122,0.0
cheques,success,162,1.37
claims,canceled,68,0.0
claims,failed,36,0.82
claims,skipped,89,0.0
claims,success,78,1.44
code_quality,canceled,745,0.48
code_quality,failed,1486,2.48
code_quality,success,207,9.27
container_scanning,canceled,40,0.0
container_scanning,failed,21,0.34
container_scanning,skipped,78,0.0
create-jira-ticket,canceled,1,0.0
create-jira-ticket,failed,34,0.14
create-jira-ticket,success,34,0.14
cron-transfer,failed,5,0.82
cron-transfer,success,1,1.63
customers,canceled,121,0.09
customers,failed,81,0.77
customers,skipped,189,0.0
customers,success,248,1.4
dast,canceled,43,0.0
dast,failed,4,0.65
dast,skipped,76,0.0
dast,success,7,1.43
dependency_scanning,failed,4,0.08
dependency_scanning,skipped,1,0.0
dependency_scanning,success,1,0.07
directDebit,canceled,76,0.02
directDebit,failed,24,0.99
directDebit,skipped,121,0.0
directDebit,success,93,1.27
discovery,canceled,92,0.03
discovery,failed,21,0.87
discovery,skipped,178,0.0
discovery,success,143,1.28
editics,canceled,39,0.0
editics,failed,21,0.75
editics,skipped,39,0.0
editics,success,76,1.5
flawfinder-sast,failed,22,0.07
flawfinder-sast,success,51,0.3
gateway,canceled,98,0.03
gateway,failed,36,0.7
gateway,skipped,180,0.0
gateway,success,189,1.31
gemnasium-dependency_scanning,canceled,24,0.0
gemnasium-dependency_scanning,failed,1,0.08
gemnasium-dependency_scanning,skipped,1,0.0
gemnasium-dependency_scanning,success,46,0.71
gemnasium-maven-dependency_scanning,canceled,820,0.76
gemnasium-maven-dependency_scanning,failed,403,13.72
gemnasium-maven-dependency_scanning,skipped,78,0.0
gemnasium-maven-dependency_scanning,success,1052,4.36
gemnasium-python-dependency_scanning,canceled,6,0.32
gemnasium-python-dependency_scanning,failed,87,0.95
gemnasium-python-dependency_scanning,success,144,0.69
iac-sast,failed,2,0.06
iac-sast,skipped,1,0.0
iac-sast,success,1,0.05
install-dependencies,canceled,295,3.21
install-dependencies,failed,569,12.98
install-dependencies,success,978,6.4
instruction-credit,canceled,1,0.0
instruction-credit,failed,1,0.4
instruction-credit,success,4,1.15
kics-iac-sast,canceled,791,0.0
kics-iac-sast,failed,163,0.12
kics-iac-sast,success,1280,0.42
landing page retail,canceled,10,0.01
landing page retail,failed,49,0.73
loan-instruction,canceled,21,0.08
loan-instruction,failed,18,0.78
loan-instruction,skipped,9,0.0
loan-instruction,success,92,1.37
loans,canceled,99,0.02
loans,failed,30,0.89
loans,skipped,149,0.0
loans,success,166,1.33
maven-dependency_scanning,success,1,0.07
notification,canceled,100,0.02
notification,failed,41,0.86
notification,skipped,142,0.0
notification,success,152,1.37
parameters,canceled,96,0.04
parameters,failed,52,0.82
parameters,skipped,125,0.0
parameters,success,132,1.38
payments,canceled,102,0.03
payments,failed,43,0.9
payments,skipped,150,0.0
payments,success,158,1.37
postman_tests,failed,9,2.19
products,canceled,98,0.02
products,failed,36,0.85
products,skipped,150,0.0
products,success,146,1.36
sast,failed,3,0.06
sast,success,1,0.08
savings-plan,canceled,4,0.0
savings-plan,failed,8,0.98
schooling,canceled,97,0.01
schooling,failed,38,0.79
schooling,skipped,123,0.0
schooling,success,111,1.34
secret_detection,canceled,824,0.0
secret_detection,failed,567,0.14
secret_detection,skipped,79,0.0
secret_detection,success,897,0.41
semgrep-sast,canceled,737,0.03
semgrep-sast,failed,162,0.66
semgrep-sast,skipped,78,0.0
semgrep-sast,success,1373,1.02
sonarqube-check,canceled,1,0.0
sonarqube-check,failed,3,0.72
spotbugs-sast,canceled,73,1.06
spotbugs-sast,failed,506,1.26
termDeposit,canceled,71,0.02
termDeposit,failed,28,0.86
termDeposit,skipped,87,0.0
termDeposit,success,79,1.41
test,canceled,42,0.02
test,failed,76,0.38
trade,canceled,132,0.04
trade,failed,111,0.84
trade,skipped,140,0.0
trade,success,239,1.48
transfers,canceled,111,0.04
transfers,failed,79,0.8
transfers,skipped,151,0.0
transfers,success,201,1.38
validation,canceled,1,1.25
validation,failed,25,1.25
validation,success,1,0.8
